RF00001,5S_rRNA,1302,5S ribosomal RNA,"Griffiths-Jones SR, Mifsud W, Gardner PP","Szymanski et al, 5S ribosomal database, PMID:11752286",38.0,38.0,37.9,"5S ribosomal RNA (5S rRNA) is a component of the large ribosomal subunit in both prokaryotes and eukaryotes. In eukaryotes, it is synthesised by RNA polymerase III (the other eukaryotic rRNAs are cleaved from a 45S precursor synthesised by RNA polymerase I). In Xenopus oocytes, it has been shown that fingers 4-7 of the nine-zinc finger transcription factor TFIIIA can bind to the central region of 5S RNA. Thus, in addition to positively regulating 5S rRNA transcription, TFIIIA also stabilises 5S rRNA until it is required for transcription.",,cmbuild -F CM SEED,cmcalibrate --mpi CM,cmsearch --cpu 4 --verbose --nohmmonly -T 24.99 -Z 2958934 CM SEQDB,712,594154,0,0,Gene; rRNA;,Published; PMID:11283358,12253,0,,,0.60889,-5.17319,1600000,225645,196,120,1,-3.7679,0.7182,2013-10-03 20:41:44,2024-09-09 21:15:12
RF00002,5_8S_rRNA,1303,5.8S ribosomal RNA,"Griffiths-Jones SR, Mifsud W","Wuyts et al, European LSU rRNA database, PMID:11125083",42.0,42.0,41.9,"5.8S ribosomal RNA (5.8S rRNA) is a component of the large subunit of the eukaryotic ribosome. It is transcribed by RNA polymerase I as part of the 45S precursor that also contains 18S and 28S rRNA. Functionally, it is thought that 5.8S rRNA may be involved in ribosome translocation [2]. It is also known to form covalent linkage to the p53 tumour suppressor protein [3]. 5.8S rRNA is also found in archaea.",,cmbuild -F CM SEED,cmcalibrate --mpi CM,cmsearch --cpu 4 --verbose --nohmmonly -T 19.62 -Z 2958934 CM SEQDB,61,16501,0,0,Gene; rRNA;,Published; PMID:11125083,1591,0,,,0.6615,-9.18781,1600000,407997,265,154,1,-3.4977,0.71788,2013-10-03 20:47:00,2024-09-10 04:51:11
RF00003,U1,1304,U1 spliceosomal RNA,"Griffiths-Jones SR, Mifsud W, Moxon SJ, Ontiveros-Palacios N","Zwieb C, The uRNA database, PMID:9016512",66.0,66.0,65.9,"U1 is a small nuclear RNA (snRNA) component of the spliceosome (involved in pre-mRNA splicing). Its 5' end forms complementary base pairs with the 5' splice junction, thus defining the 5' donor site of an intron. There are significant differences in sequence and secondary structure between metazoan and yeast U1 snRNAs, the latter being much longer (568 nucleotides as compared to 164 nucleotides in human). Nevertheless, secondary structure predictions suggest that all U1 snRNAs share a 'common core' consisting of helices I, II, the proximal region of III, and IV [1]. This family does not contain the larger yeast sequences. The structure of U1 spliceosomal RNA has been reported in [5,6]. It present 4 Stem loops (SL1, SL2, SL3, and SL4) and a region call Helix H. SL1, SL2, and SL3 are join for the Helix H, forming a four-helix junction that are separated of SL4. U1 snRNA is important in the precatalytic spliceosome, where the 5' splice site (5'SS) of the pre-mRNA is recognized by pairing with 5'-U1 snRNA. Where spliceosome activation is initiated by a disruption of the 5â€²SSâ€“U1 snRNP interaction by the DEAD-box helicase Prp28 [6]. The structure of U1 small nucleolar RNA was reported in PDB:6QX9",,cmbuild -F CM SEED,cmcalibrate --mpi CM,cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 2958934 CM SEQDB,100,41297,0,0,Gene; snRNA; splicing;,Published; PMID:2405391,1539,0,,,0.66474,-8.65259,1600000,410919,262,166,1,-3.7311,0.71618,2013-10-03 20:57:11,2024-09-09 21:15:12
RF00004,U2,1305,U2 spliceosomal RNA,"Griffiths-Jones SR, Mifsud W, Gardner PP","The uRNA database, PMID:9016512; Griffiths-Jones SR; PMID:18390578",46.0,46.0,45.9,"U2 is a small nuclear RNA (snRNA) component of the spliceosome (involved in pre-mRNA splicing). Complementary binding between U2 snRNA (in an area lying towards the 5' end but 3' to hairpin I) and the branchpoint sequence (BPS) of the intron results the bulging out of an unpaired adenosine, on the BPS, which initiates a nucleophilic attack at the intronic 5' splice site, thus starting the first of two transesterification reactions that mediate splicing.",,cmbuild -F CM SEED,cmcalibrate --mpi CM,cmsearch --cpu 4 --verbose --nohmmonly -T 27.09 -Z 2958934 CM SEQDB,208,71512,0,0,Gene; snRNA; splicing;,Published; PMID:2339054; Griffiths-Jones SR,2642,0,,,0.55201,-9.92571,1600000,404187,292,192,1,-3.4862,0.71304,2013-10-03 20:58:30,2024-09-10 04:51:11
RF00005,tRNA,1306,tRNA,"Eddy SR, Griffiths-Jones SR, Mifsud W",Eddy SR,29.0,29.0,28.9,"Transfer RNA (tRNA) molecules are approximately 80 nucleotides in length. Their secondary structure includes four short double-helical elements and three loops (D, anti-codon, and T loops). Further hydrogen bonds mediate the characteristic L-shaped molecular structure. tRNAs have two regions of fundamental functional importance: the anti-codon, which is responsible for specific mRNA codon recognition, and the 3' end, to which the tRNAs corresponding amino acid is attached (by aminoacyl-tRNA synthetases). tRNAs cope with the degeneracy of the genetic code in two manners: having more than one tRNA (with a specific anti-codon) for a particular amino acid; and 'wobble' base-pairing, i.e. permitting non-standard base-pairing at the 3rd anti-codon position.",,cmbuild -F CM SEED,cmcalibrate --mpi CM,cmsearch --cpu 4 --verbose --nohmmonly -T 22.00 -Z 2958934 CM SEQDB,954,5335975,0,0,Gene; tRNA;,Published; PMID:8256282,14413,0,,,0.63376,-4.41829,1600000,281040,217,71,1,-2.6284,0.73562,2013-10-03 21:00:26,2024-09-10 04:51:11
RF00006,Vault,1307,Vault RNA,"Bateman A, Gardner PP",Published; PMID:19491402,34.0,34.0,33.9,"This family of RNAs are found as part of the enigmatic vault ribonucleoprotein complex. The complex consists of a major vault protein (MVP), two minor vault proteins (VPARP and TEP1), and several small untranslated RNA molecules. It has been suggested that the vault complex is involved in drug resistance. We have identified a putative novel vault RNA on chromosome 5 EMBL:AC005219.",,cmbuild -F CM SEED,cmcalibrate --mpi CM,cmsearch --cpu 4 --verbose --nohmmonly -T 26.27 -Z 2958934 CM SEQDB,73,2873,0,0,Gene;,Published; PMID:19491402,431,0,,,0.6523,-4.45485,1600000,272953,248,99,1,-3.5768,0.71856,2013-10-03 22:04:04,2024-09-10 04:51:11
RF00007,U12,1308,U12 minor spliceosomal RNA,"Griffiths-Jones S, Mifsud W, Gardner PP","Shukla GC and Padgett RA, PMID:10199569; PMID:18390578",53.0,53.0,52.8,"The U12 small nuclear (snRNA), together with U4atac/U6atac, U5, and U11 snRNAs and associated proteins, forms a spliceosome that cleaves a divergent class of low-abundance pre-mRNA introns. Although the U12 sequence is very divergent from that of U2 (Rfam:RF00004), the two are functionally analogous [2]. The predicted secondary structure of U12 RNA is published (see for example, PMID:10199569), but the alternative single hairpin in the 3' end shown here seems to better match the alignment of divergent Drosophila and Arabidopsis sequences.",,cmbuild -F CM SEED,cmcalibrate --mpi CM,cmsearch --cpu 4 --verbose --nohmmonly -T 27.53 -Z 2958934 CM SEQDB,62,2106,0,0,Gene; snRNA; splicing;,Predicted; Griffiths-Jones S,1170,0,,,0.54748,-10.16338,1600000,496793,458,151,1,-3.0741,0.71801,2013-10-03 22:04:07,2024-09-09 21:15:12
RF00008,Hammerhead_3,1309,Hammerhead ribozyme (type III),"Bateman A, Ontiveros-Palacios N",Bateman A,48.5,48.5,48.4,"The hammerhead ribozyme is one of the smallest catalytic RNAs. These RNAs have an endonuclease function, and most often are autocatalytic. Structurally it is composed of three base paired helices, separated by short linkers of conserved sequence. These helices are called I, II and III. We have classified hammerhead ribozymes into three types based on which helix the 5' and 3' ends of the sequence join. This family are the type III hammerheads. The conserved uridine-turn links helix I to helix II and usually has the sequence CUGA. Helix II and III are linked by a sequence CGAAA. The cleavage reaction occurs between helix III and I, and is usually a C. Hammerhead ribozymes are found in plant viroids and other small replicating satellite RNA species. Hammerhead ribozymes have been found in animals as well as plants. The structure of Hammerhead III ribozyme was reported in PDBs 2QUS, 2QUW [4], 5DI2, 5DI4, 5DQK [5], 5EAO, and 5EAQ [6].",Hammerhead,cmbuild -F CM SEED,cmcalibrate --mpi CM,cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 2958934 CM SEQDB,85,750,0,0,Gene; ribozyme;,Published; PMID:7969422,21,0,,,0.65191,-3.95526,1600000,280797,370,54,1,-4.4157,0.71958,2013-10-03 22:04:11,2024-09-09 21:15:12
RF00009,RNaseP_nuc,1310,Nuclear RNase P,"Griffiths-Jones SR, Mifsud W","Brown JW, The Ribonuclease P Database, PMID:9847214",28.0,28.0,27.9,"Ribonuclease P (RNase P) is a ubiquitous endoribonuclease, found in archaea, bacteria and eukarya as well as chloroplasts and mitochondria. Its best characterised activity is the generation of mature 5'-ends of tRNAs by cleaving the 5'-leader elements of precursor-tRNAs. Cellular RNase Ps are ribonucleoproteins. RNA from bacterial RNase Ps retains its catalytic activity in the absence of the protein subunit, i.e. it is a ribozyme. Isolated eukaryotic and archaeal RNase P RNA has not been shown to retain its catalytic function, but is still essential for the catalytic activity of the holoenzyme. Although the archaeal and eukaryotic holoenzyme s have a much greater protein content than the bacterial ones, the RNA cores from all the three lineages are homologous -- helices corresponding to P1, P2, P3, P4, and P10/11 are common to all cellular RNase P RNAs. Yet, there is considerable sequence variation, particularly among the eukaryotic RNAs.",,cmbuild -F CM SEED,cmcalibrate --mpi CM,cmsearch --cpu 4 --verbose --nohmmonly -T 16.14 -Z 2958934 CM SEQDB,116,3848,0,0,Gene; ribozyme;,Published; PMID:9847214,1862,0,,,0.73673,-8.77494,1600000,315468,754,301,1,-4.3287,0.70585,2013-10-03 22:04:14,2024-09-10 04:51:11
RF00010,RNaseP_bact_a,2441,Bacterial RNase P class A,"Griffiths-Jones SR, Mifsud W","Brown JW, The Ribonuclease P Database, PMID:9847214",100.0,101.0,99.9,"Ribonuclease P (RNase P) is a ubiquitous endoribonuclease, found in archaea, bacteria and eukarya as well as chloroplasts and mitochondria. Its best characterised activity is the generation of mature 5'-ends of tRNAs by cleaving the 5'-leader elements of precursor-tRNAs. Cellular RNase Ps are ribonucleoproteins. RNA from bacterial RNase Ps retains its catalytic activity in the absence of the protein subunit, i.e. it is a ribozyme. Isolated eukaryotic and archaeal RNase P RNA has not been shown to retain its catalytic function, but is still essential for the catalytic activity of the holoenzyme. Although the archaeal and eukaryotic holoenzyme s have a much greater protein content than the bacterial ones, the RNA cores from all the three lineages are homologous -- helices corresponding to P1, P2, P3, P4, and P10/11 are common to all cellular RNase P RNAs. Yet, there is considerable sequence variation, particularly among the eukaryotic RNAs. Identified in Yersinia as Ysr151/RnpB. ",,cmbuild -F CM SEED,cmcalibrate --mpi CM,cmsearch --cpu 4 --verbose --nohmmonly -T 17.69 -Z 2958934 CM SEQDB,458,8471,0,0,Gene; ribozyme;,Published; PMID:9847214,8783,0,,,0.78066,-8.36501,1600000,367627,707,367,1,-4.4128,0.70354,2013-10-03 22:04:21,2024-09-10 04:51:11
